z,ra,dec,r,grModelColor
0.1106342,184.5799278,-3.09345134,17.24706,0.74731445
0.1007837,185.3731862,-3.08568026,16.73498,0.54558563
0.1077053,180.0931936,-3.65013909,17.44832,0.60611343
0.1113072,189.4778602,-1.92337232,17.39454,0.57415581
0.1100083,196.7113607,-1.57091689,17.25401,0.97242546
0.1172655,157.9813308,61.83489286,16.81816,1.06835938
0.1154222,130.9519336,51.72584883,17.65924,0.96702003
0.1116502,134.4745314,54.37070051,17.08377,0.8098793
0.1098733,137.4655144,56.61263297,16.57414,1.03289032
0.1168378,116.6646244,38.35437578,15.91699,0.8724041
0.1168333,131.3275176,51.73469707,17.56053,0.77429581
0.1031558,202.9720289,63.70788724,16.68905,0.86725998
0.1026523,116.2846622,38.40425232,16.53629,1.03496933
0.1097736,136.8652212,55.4102641,16.60305,0.86313248
0.1178622,157.9093591,64.2153903,16.93969,0.60871506
0.1010521,124.0127335,48.88562039,16.70875,0.95003319
0.1067799,239.3445085,-0.2878732,17.95301,1.07472229
0.1146793,146.4483393,-0.71343121,17.34575,0.58472633
0.1181085,131.3556297,50.81245659,16.41892,0.91227722
0.1170498,127.0252791,48.89826747,16.97738,0.74770927
0.1199468,136.330208,54.92265782,16.09191,0.92041588
0.1124194,132.8849263,54.05669726,16.65854,0.84837151
0.1020318,262.1842889,53.12161927,17.63016,0.50550079
0.1028225,210.1636983,62.56228619,17.03773,1.05344009
0.1182498,231.9355457,57.09521653,17.4864,0.93202209
0.1025576,232.7835318,56.92640986,17.36594,0.9126358
0.1177181,190.0043825,0.34919364,17.36305,1.0367527
0.118989,231.3449141,0.32122024,16.52861,1.17544365
0.1136046,232.12803,0.29449857,18.85721,0.12013626
0.1073181,133.5276666,0.7077521,17.70092,0.9433403
0.1107674,133.6416219,0.68244837,17.57005,1.0126152
0.1030337,195.9988543,-3.44880446,17.64435,0.44462204
0.1003404,180.9863235,-3.10449316,17.30165,1.01676369
0.1174068,145.2178082,59.46091165,17.4811,0.86939812
0.1192828,129.3969163,50.15286428,16.17204,1.13355255
0.1112035,242.3127835,49.08039043,16.89137,0.63459396
